Transaction ID,Customer ID,Customer Name,Gender,Age,Location,Product ID,Product Name,Category,Supplier,Quantity Sold,Sale Price,Date,Age Groups,Total Sales
1,474,Customer_14,Female,47,Houston,90,Home Appliances_90,Home Appliances,TechWorld,5,97.97,2024-02-17,Middle-Aged (40-49),489.85
2,420,Customer_495,Male,57,Chicago,75,Books_75,Clothing,TechWorld,4,762.19,2024-10-02,Pre-Seniors (50-59),3048.76
3,73,Customer_359,Male,60,Los Angeles,47,Toys_47,Clothing,HomeEssentials,3,193.05,2024-03-28,Seniors (60-69),579.1500000000001
4,215,Customer_350,Female,36,Chicago,69,Toys_69,Electronics,BookWorm,1,90.13,2024-08-30,Adults (30-39),90.13
5,124,Customer_385,Male,65,Los Angeles,99,Clothing_99,Toys,HomeEssentials,4,96.85,2024-02-03,Seniors (60-69),387.4
6,265,Customer_356,Female,44,Chicago,39,Toys_39,Books,FashionHub,4,210.6,2024-06-20,Middle-Aged (40-49),842.4
7,80,Customer_207,Female,55,Phoenix,81,Clothing_81,Home Appliances,HomeEssentials,1,81.8,2024-05-21,Pre-Seniors (50-59),81.8
8,423,Customer_139,Male,33,Los Angeles,75,Books_75,Clothing,TechWorld,1,103.99,2024-10-21,Adults (30-39),103.99
9,159,Customer_309,Male,30,Los Angeles,98,Electronics_98,Home Appliances,TechWorld,3,290.36,2024-07-28,Adults (30-39),871.08
10,288,Customer_256,Female,63,Los Angeles,64,Home Appliances_64,Clothing,HomeEssentials,4,243.74,2024-06-11,Seniors (60-69),974.96
11,59,Customer_207,Female,25,Houston,75,Books_75,Clothing,TechWorld,3,561.08,2024-02-09,Young Adults (20-29),1683.2400000000002
12,78,Customer_310,Female,26,New York,56,Clothing_56,Toys,TechWorld,5,818.2,2024-02-10,Young Adults (20-29),4091.0
13,80,Customer_207,Female,55,Phoenix,37,Toys_37,Toys,TechWorld,5,645.23,2024-09-07,Pre-Seniors (50-59),3226.15
14,84,Customer_352,Male,69,Chicago,5,Books_5,Home Appliances,BookWorm,4,694.97,2024-09-01,Elders (70+),2779.88
15,468,Customer_117,Female,18,Houston,72,Home Appliances_72,Electronics,ToyLand,2,241.73,2024-12-26,Teens (<20),483.46
16,105,Customer_293,Male,60,Los Angeles,97,Electronics_97,Toys,TechWorld,3,518.72,2024-09-16,Seniors (60-69),1556.16
17,142,Customer_106,Male,54,Houston,5,Books_5,Home Appliances,BookWorm,5,795.86,2024-08-21,Pre-Seniors (50-59),3979.3
18,248,Customer_135,Female,50,Chicago,41,Books_41,Electronics,TechWorld,4,399.18,2024-03-07,Pre-Seniors (50-59),1596.72
19,270,Customer_93,Male,45,Phoenix,12,Electronics_12,Books,HomeEssentials,5,760.27,2024-01-11,Middle-Aged (40-49),3801.35
20,371,Customer_350,Male,27,Phoenix,13,Electronics_13,Books,FashionHub,5,453.8,2024-01-30,Young Adults (20-29),2269.0
21,452,Customer_54,Male,44,Phoenix,94,Clothing_94,Electronics,FashionHub,2,344.49,2024-12-12,Middle-Aged (40-49),688.98
22,85,Customer_297,Male,36,Chicago,86,Toys_86,Clothing,TechWorld,3,447.1,2024-01-02,Adults (30-39),1341.3000000000002
